time,x,y,speed,angle,lane,closest
96.7,1.6,-721.89,6.51,345.26,D2_0,9.0
104.4,1.6,-632.44,10.52,278.05,:5_3_0,8.0
106.7,1.6,-605.94,6.36,276.75,:5_3_0,8.0
109.7,1.6,-571.4,12.91,180.0,:5_1_0,8.0
114.1,1.6,-520.76,12.98,34.62,:5_6_0,9.0
114.8,1.6,-512.68,13.01,56.24,:5_11_0,8.0
126.7,1.6,-375.59,12.7,280.88,D8_0,11.0
127.2,1.6,-369.83,9.64,151.29,:5_2_0,12.0
133.8,1.6,-293.9,8.44,42.0,:5_11_0,14.0
134.7,1.6,-283.51,6.96,0.0,:5_7_0,14.0
136.7,1.6,-260.49,12.96,180.0,:5_1_0,13.0
139.5,1.6,-228.24,5.34,150.1,:5_9_0,15.0
142.9,1.6,-189.09,5.31,158.19,:5_2_0,16.0
143.9,1.6,-177.6,4.12,164.66,D4_0,17.0
143.9,1.6,-177.6,4.28,180.0,D4_0,17.0
150.4,1.6,-102.68,0.32,90.0,D6_0,17.0
153.7,1.6,-66.11,7.33,145.57,:5_9_0,19.0
158.7,1.6,-33.31,10.85,180.0,D4_0,20.0
164.1,1.6,-17.02,0.3,68.92,D6_0,23.0
164.1,1.6,-17.02,0.32,90.0,D6_0,23.0
184.6,1.6,6.66,0.31,69.02,D6_0,23.0
184.6,1.6,6.66,0.33,90.0,D6_0,23.0
189.0,1.6,7.1,9.62,270.0,D8_0,23.0
205.1,1.6,21.53,0.31,110.83,D6_0,24.0
205.1,1.6,21.53,0.28,69.38,D6_0,24.0
225.6,1.6,53.76,0.3,69.45,D6_0,24.0
228.7,1.6,58.66,6.84,180.0,:5_1_0,23.0
239.2,1.6,75.3,0.29,111.11,D6_0,23.0
243.7,1.6,82.45,7.62,305.14,:5_8_0,24.0
252.8,1.6,96.92,0.3,68.55,D6_0,25.0
266.5,1.6,118.55,0.26,111.63,D6_0,22.0
275.5,1.6,132.85,12.08,180.0,D4_0,20.0
280.3,1.6,140.44,0.33,69.34,D6_0,22.0
334.7,1.6,225.79,0.28,111.39,D6_0,13.0
348.3,1.6,247.23,0.32,111.43,D6_0,10.0
361.9,1.6,268.92,0.33,111.45,D6_0,8.0
428.8,1.6,903.91,1.12,270.0,D8_0,3.0
434.8,1.6,983.18,0.49,180.0,D4_0,3.0
93.2,1.6,-738.94,11.31,270.0,:5_4_0,9.0
100.8,1.6,-651.42,12.42,270.0,:5_4_0,16.0
102.3,1.6,-634.13,13.03,180.0,:5_1_0,16.0
105.4,1.6,-598.44,7.63,151.64,:5_2_0,17.0
105.4,1.6,-598.44,8.09,90.0,:5_10_0,18.0
107.7,1.6,-571.98,2.1,90.0,D6_0,18.0
148.1,1.6,-129.84,0.38,68.48,D6_0,24.0
148.9,1.6,-128.04,6.72,270.0,:5_4_0,24.0
149.3,1.6,-127.39,9.16,180.0,D3_0,27.0
152.2,1.6,-124.96,4.45,270.0,D8_0,25.0
156.6,1.6,-121.13,5.54,270.0,:5_4_0,24.0
158.0,1.6,-119.5,5.41,222.78,:5_0_0,24.0
234.1,1.6,-27.84,5.98,253.03,D8_0,24.0
247.7,-6.44,1.41,4.48,295.29,:5_8_0,25.0
249.6,-7.39,1.6,9.31,180.0,D4_0,27.0
254.4,-16.62,1.6,1.13,270.0,D8_0,26.0
320.2,-104.99,1.6,0.34,21.44,D2_0,26.0
333.4,-120.46,1.6,0.38,338.14,D2_0,26.0
333.4,-120.46,1.6,5.82,0.0,:5_7_0,25.0
346.6,-136.03,1.6,0.38,338.8,D2_0,25.0
346.6,-136.03,1.6,0.38,21.24,D2_0,25.0
366.4,-159.4,1.6,0.36,0.0,D2_0,25.0
366.4,-159.4,1.6,0.33,338.9,D2_0,25.0
386.3,-183.04,1.6,0.35,0.0,D2_0,26.0
399.5,-198.64,1.6,0.37,0.0,D2_0,27.0
399.5,-198.64,1.6,0.31,21.38,D2_0,27.0
419.3,-221.91,1.6,0.34,21.31,D2_0,27.0
419.3,-221.91,1.6,0.4,0.0,D2_0,27.0
439.0,-247.59,1.6,0.38,0.0,D2_0,26.0
452.2,-322.57,1.6,0.31,0.0,D2_0,25.0
465.4,-456.88,1.6,0.32,21.66,D2_0,26.0
478.6,-608.02,1.6,0.32,0.0,D2_0,22.0
483.1,-659.83,1.6,7.79,90.0,:5_10_0,23.0
491.8,-760.03,1.6,0.37,21.41,D2_0,20.0
491.8,-760.03,1.6,0.31,0.0,D2_0,20.0
492.0,-762.33,1.6,11.13,180.0,D4_0,19.0
511.7,-991.1,1.6,0.33,21.53,D2_0,16.0
511.7,-991.1,1.6,0.33,0.0,D2_0,16.0
531.5,1.6,364.23,0.32,0.0,D2_0,16.0
531.5,1.6,364.23,0.35,338.53,D2_0,16.0
551.3,1.6,389.01,0.36,20.92,D2_0,16.0
551.3,1.6,389.01,0.33,339.18,D2_0,16.0
571.0,1.6,413.74,0.34,0.0,D2_0,16.0
571.0,1.6,413.74,0.34,338.39,D2_0,16.0
590.8,1.6,438.56,0.33,21.5,D2_0,16.0
590.8,1.6,438.56,0.35,338.28,D2_0,16.0
594.4,1.6,443.15,7.49,72.18,D6_0,17.0
610.7,1.6,463.59,0.33,338.99,D2_0,16.0
610.7,1.6,463.59,0.33,0.0,D2_0,16.0
630.5,1.6,488.5,0.37,0.0,D2_0,16.0
630.5,1.6,488.5,0.36,21.57,D2_0,16.0
650.4,1.6,513.63,0.35,21.06,D2_0,16.0
650.4,1.6,513.63,0.38,339.07,D2_0,16.0
670.1,1.6,538.41,0.34,21.61,D2_0,16.0
670.1,1.6,538.41,0.32,0.0,D2_0,16.0
690.0,1.6,563.48,0.36,339.24,D2_0,16.0
690.0,1.6,563.48,0.33,20.99,D2_0,16.0
76.3,-841.52,-1.6,11.03,288.23,D8_0,1.0
93.6,-600.42,-1.6,10.55,21.5,D2_0,7.0
96.6,-558.62,-1.6,7.22,54.53,:5_11_0,10.0
105.2,-438.84,-1.6,7.54,0.0,:5_7_0,14.0
106.2,-424.91,-1.6,7.77,217.13,:5_5_0,14.0
138.2,-74.05,-1.6,0.51,249.64,D8_0,29.0
138.2,-74.05,-1.6,0.55,270.0,D8_0,29.0
156.0,-54.43,-1.6,0.52,249.22,D8_0,29.0
156.0,-54.43,-1.6,0.47,291.01,D8_0,29.0
173.7,-32.41,-1.6,0.55,248.56,D8_0,29.0
173.7,-32.41,-1.6,0.5,291.46,D8_0,29.0
191.4,25.91,-1.6,0.5,249.11,D8_0,26.0
191.8,27.69,-1.6,7.24,113.98,:5_2_0,27.0
203.1,50.55,-1.6,0.51,270.0,D8_0,31.0
203.1,50.55,-1.6,0.56,248.54,D8_0,31.0
220.7,72.9,-1.6,0.5,248.95,D8_0,28.0
232.4,87.76,-1.6,0.5,248.39,D8_0,26.0
244.2,102.83,-1.6,0.52,291.08,D8_0,26.0
258.4,120.83,-1.6,5.22,39.93,:5_6_0,22.0
279.0,147.02,-1.6,4.86,270.0,:5_4_0,21.0
282.9,151.97,-1.6,7.02,90.0,:5_10_0,23.0
315.2,193.38,-1.6,0.59,270.0,D8_0,15.0
327.0,208.41,-1.6,0.5,290.98,D8_0,11.0
94.7,-1.6,716.63,12.98,247.13,:5_5_0,6.0
99.1,-1.6,661.55,8.11,180.0,:5_1_0,9.0
103.6,-1.6,605.89,3.46,180.0,:5_1_0,8.0
112.1,-1.6,500.99,3.87,338.76,D2_0,12.0
116.6,-1.6,445.59,0.99,202.31,:5_5_0,18.0
163.6,-1.6,59.29,0.22,338.17,D2_0,23.0
177.9,-1.6,16.03,0.21,338.87,D2_0,23.0
177.9,-1.6,16.03,0.26,0.0,D2_0,23.0
199.3,-1.6,-0.05,0.25,0.0,D2_0,25.0
199.3,-1.6,-0.05,0.24,21.34,D2_0,25.0
220.8,-1.6,-15.68,0.21,21.39,D2_0,24.0
220.8,-1.6,-15.68,0.29,337.9,D2_0,24.0
242.2,-1.6,-44.86,0.26,21.47,D2_0,21.0
242.2,-1.6,-44.86,0.23,338.36,D2_0,21.0
263.6,-1.6,-74.02,0.24,0.0,D2_0,18.0
266.0,-1.6,-77.29,6.02,248.59,D8_0,20.0
267.0,-1.6,-78.65,7.26,90.0,D6_0,20.0
273.0,-1.6,-86.82,8.01,23.69,:5_6_0,20.0
277.9,-1.6,-93.43,0.28,21.17,D2_0,17.0
471.2,-1.6,-360.97,4.17,0.0,D2_0,3.0
104.2,14.86,1.6,13.01,117.9,:5_2_0,5.0
148.9,1.6,112.51,5.29,76.94,D6_0,5.0
160.8,1.6,128.47,5.35,2.98,:5_6_0,6.0
164.9,1.6,133.87,12.95,299.71,:5_8_0,6.0
449.1,1.6,632.54,0.52,90.0,D6_0,3.0
89.0,1.6,-641.24,12.81,224.44,:5_5_0,5.0
93.0,1.6,-595.05,10.98,56.44,:5_11_0,6.0
94.0,1.6,-583.55,2.56,22.07,:5_11_0,5.0
100.0,1.6,-514.45,0.65,0.0,:5_7_0,13.0
124.0,1.6,-238.08,8.44,90.0,:5_10_0,22.0
200.0,1.6,-37.14,6.54,252.56,D8_0,24.0
221.8,1.6,7.42,0.46,338.5,D2_0,25.0
221.8,1.6,7.42,5.02,61.71,:5_11_0,25.0
225.7,1.6,12.49,7.28,90.0,:5_10_0,26.0
230.3,1.6,18.47,2.36,90.0,D6_0,27.0
238.8,1.6,29.48,6.61,270.0,:5_4_0,30.0
240.0,1.6,31.04,0.77,270.0,D8_0,28.0
253.8,1.6,49.04,0.37,21.54,D2_0,27.0
266.7,1.6,65.83,0.4,339.33,D2_0,29.0
298.7,1.6,107.4,0.39,0.0,D2_0,27.0
300.2,1.6,109.34,0.45,112.0,:5_2_0,28.0
320.7,1.6,135.77,0.42,67.89,D6_0,28.0
334.3,1.6,153.31,0.3,111.0,D6_0,23.0
344.0,1.6,165.91,0.56,21.46,D2_0,23.0
347.9,1.6,171.01,0.27,111.32,D6_0,22.0
361.6,1.6,188.9,6.09,90.0,:5_10_0,18.0
363.4,1.6,191.26,0.65,21.1,D2_0,19.0
368.4,1.6,197.85,0.3,111.4,D6_0,20.0
393.6,1.6,229.51,0.38,201.51,D4_0,13.0
406.8,1.6,245.41,0.37,201.16,D4_0,9.0
442.0,1.6,287.3,4.18,270.0,D8_0,2.0
76.5,1.6,-925.57,12.32,95.6,:5_9_0,2.0
92.2,1.6,-719.22,13.0,136.39,:5_2_0,11.0
95.3,1.6,-680.28,6.62,328.49,:5_8_0,15.0
103.5,1.6,-577.51,1.06,292.06,:5_8_0,22.0
118.1,1.6,-394.61,0.36,20.72,D2_0,29.0
118.1,1.6,-394.61,0.36,339.31,D2_0,29.0
137.7,1.6,-149.51,0.34,21.12,D2_0,33.0
148.7,1.6,-101.1,0.5,200.63,D4_0,33.0
232.8,55.38,-1.6,6.72,90.0,:5_10_0,19.0
236.9,60.72,-1.6,5.99,128.07,:5_9_0,23.0
241.9,67.0,-1.6,1.14,90.0,:5_10_0,22.0
415.3,275.87,-1.6,8.62,270.0,D8_0,18.0
418.9,280.02,-1.6,4.82,270.0,:5_4_0,17.0
448.0,313.76,-1.6,5.65,60.95,:5_6_0,20.0
453.3,319.86,-1.6,10.82,180.0,:5_1_0,22.0
478.1,348.66,-1.6,0.42,270.0,:5_4_0,24.0
487.2,359.3,-1.6,8.32,155.1,:5_2_0,25.0
488.6,360.91,-1.6,5.63,90.0,:5_10_0,25.0
491.7,364.48,-1.6,6.47,129.87,:5_9_0,26.0
492.6,365.52,-1.6,6.57,180.0,:5_1_0,27.0
493.4,366.44,-1.6,2.1,90.0,D6_0,27.0
493.4,366.44,-1.6,2.24,68.38,D6_0,27.0
509.0,394.33,-1.6,0.41,90.0,:5_10_0,29.0
563.1,461.46,-1.6,6.75,24.81,:5_11_0,20.0
101.2,1.6,-638.77,10.27,80.88,D6_0,9.0
104.1,1.6,-605.12,3.48,113.0,:5_2_0,9.0
104.1,1.6,-605.12,3.35,67.42,:5_6_0,9.0
105.2,1.6,-592.34,6.14,206.21,:5_5_0,10.0
106.1,1.6,-581.93,12.2,329.34,:5_3_0,8.0
114.6,1.6,-484.03,6.93,251.92,:5_5_0,11.0
118.4,1.6,-440.24,6.6,0.0,:5_7_0,14.0
120.0,1.6,-421.84,10.69,244.35,:5_0_0,14.0
122.2,1.6,-396.53,7.03,270.0,:5_4_0,14.0
125.4,1.6,-359.65,8.37,127.99,:5_2_0,16.0
133.4,1.6,-267.57,3.89,296.54,:5_8_0,21.0
136.2,1.6,-235.37,1.84,0.0,D2_0,24.0
148.0,1.6,-99.49,0.36,21.6,D2_0,23.0
181.4,-11.09,1.6,0.33,21.58,D2_0,28.0
185.2,-15.65,1.6,0.3,270.0,D8_0,30.0
194.8,-27.28,1.6,0.32,338.86,D2_0,31.0
196.8,-29.72,1.6,9.13,90.0,:5_10_0,30.0
208.1,-43.41,1.6,0.34,339.13,D2_0,27.0
213.1,-49.46,1.6,8.47,90.0,D6_0,27.0
221.4,-59.51,1.6,0.3,338.5,D2_0,27.0
234.8,-75.8,1.6,0.33,0.0,D2_0,27.0
239.9,-81.97,1.6,0.72,270.0,D8_0,29.0
253.2,-98.03,1.6,0.31,270.0,D8_0,29.0
253.2,-98.03,1.6,0.29,248.26,D8_0,29.0
273.7,-122.78,1.6,0.28,270.0,D8_0,26.0
273.7,-122.78,1.6,0.31,247.77,:5_0_0,26.0
293.9,-147.2,1.6,6.13,129.54,:5_2_0,29.0
294.8,-148.29,1.6,10.01,90.0,:5_10_0,29.0
295.6,-149.25,1.6,4.27,150.6,:5_2_0,28.0
315.0,-172.88,1.6,0.37,0.0,D2_0,25.0
316.3,-174.47,1.6,8.4,133.91,:5_2_0,27.0
328.4,-189.26,1.6,0.3,338.98,D2_0,26.0
328.4,-189.26,1.6,0.3,0.0,D2_0,26.0
334.3,-196.45,1.6,5.09,180.0,:5_1_0,24.0
348.5,-213.66,1.6,0.35,339.47,D2_0,22.0
348.5,-213.66,1.6,0.33,20.85,D2_0,22.0
368.5,-237.89,1.6,0.32,21.4,D2_0,20.0
382.0,-254.35,1.6,0.3,20.99,D2_0,15.0
395.4,-270.6,1.6,0.33,21.55,D2_0,12.0
399.3,-275.29,1.6,4.16,180.0,D4_0,0.0
408.8,-286.71,1.6,0.36,20.95,D2_0,12.0
422.1,-302.78,1.6,0.35,339.54,D2_0,9.0
435.5,-320.36,1.6,0.31,20.91,D2_0,4.0
79.3,-1.6,974.11,10.13,90.0,:5_10_0,2.0
90.7,-1.6,823.48,11.31,259.68,D8_0,5.0
95.5,-1.6,762.14,9.24,155.59,:5_2_0,7.0
101.8,-1.6,682.87,8.64,313.1,:5_8_0,10.0
102.6,-1.6,672.82,10.52,270.0,:5_4_0,14.0
108.7,-1.6,596.38,6.15,180.0,:5_1_0,19.0
163.8,-1.6,101.91,6.35,33.98,:5_11_0,25.0
164.6,-1.6,101.37,10.09,0.0,:5_7_0,26.0
194.6,-1.6,79.38,0.3,90.0,D6_0,31.0
215.0,-1.6,59.09,0.3,68.3,D6_0,30.0
235.3,-1.6,34.81,0.31,68.36,D6_0,30.0
235.3,-1.6,34.81,0.43,90.0,:5_10_0,30.0
302.4,-1.6,-32.25,0.31,22.07,:5_11_0,27.0
333.7,-1.6,-69.98,9.3,298.62,:5_8_0,24.0
368.5,-1.6,-112.03,6.9,202.05,:5_5_0,26.0
373.1,-1.6,-117.61,1.51,201.5,D4_0,29.0
404.6,-1.6,-156.0,0.29,158.92,D4_0,26.0
412.6,-1.6,-165.73,6.29,240.16,:5_0_0,31.0
417.0,-1.6,-171.07,3.08,250.93,D8_0,33.0
451.1,-1.6,-212.43,4.1,90.0,D6_0,3.0
516.6,-1.6,-330.73,7.96,333.81,:5_8_0,16.0
